Country,WHO_region,Cumulative_cases,Cumulative_deaths,Death / Cases,Code,New_Cases,Death_Cases,allPercent
United States of America,Americas,103436829,1127152,1.09,USA,0,0,13.43
China,Western Pacific,99312876,121714,0.12,CHN,0,0,12.89
India,South East Asia,44998838,532032,1.18,IND,0,0,5.84
France,Europe,38997490,167985,0.43,FRA,0,0,5.06
Germany,Europe,38437756,174979,0.46,DEU,0,0,4.99
Brazil,Americas,37721749,704659,1.87,BRA,0,0,4.90
Republic of Korea,Western Pacific,34571873,35934,0.10,NA,0,0,4.49
Japan,Western Pacific,33803572,74694,0.22,JPN,0,0,4.39
Italy,Europe,26082645,191715,0.74,ITA,0,0,3.39
The United Kingdom,Europe,24743787,229765,0.93,GBR,0,0,3.21
Russian Federation,Europe,23029404,400047,1.74,RUS,0,0,2.99
Türkiye,Europe,17004677,101419,0.60,NA,0,0,2.21
Spain,Europe,13980340,121852,0.87,ESP,0,0,1.81
Viet Nam,Western Pacific,11623698,43206,0.37,NA,0,0,1.51
Australia,Western Pacific,11608166,23129,0.20,AUS,0,0,1.51
Argentina,Americas,10054576,130472,1.30,ARG,0,0,1.31
Netherlands,Europe,8618815,22986,0.27,NLD,0,0,1.12
Mexico,Americas,7690908,334630,4.35,MEX,0,0,1.00
Iran (Islamic Republic of),Eastern Mediterranean,7617752,146410,1.92,IRN,0,0,0.99
Indonesia,South East Asia,6813429,161918,2.38,IDN,0,0,0.88
Poland,Europe,6523335,119654,1.83,POL,0,0,0.85
Colombia,Americas,6381470,142977,2.24,COL,0,0,0.83
Austria,Europe,6081287,22534,0.37,AUT,0,0,0.79
Portugal,Europe,5621015,27424,0.49,PRT,0,0,0.73
Ukraine,Europe,5520483,109918,1.99,UKR,0,0,0.72
Greece,Europe,5405742,37572,0.70,GRC,0,0,0.70
Chile,Americas,5288823,61607,1.16,CHL,0,0,0.69
Malaysia,Western Pacific,5129131,37194,0.73,MYS,0,0,0.67
Israel,Europe,4839886,12691,0.26,ISR,0,0,0.63
Belgium,Europe,4817196,34339,0.71,BEL,0,0,0.63
Thailand,South East Asia,4757473,34474,0.72,THA,0,0,0.62
Canada,Americas,4712542,53260,1.13,CAN,0,0,0.61
Czechia,Europe,4651538,42849,0.92,NA,0,0,0.60
Peru,Americas,4520727,221704,4.90,PER,0,0,0.59
